default_store_number,location_number,building_name,optima_name,gross_internal_area_square_feet,_retail_area_square_feet
652,6065299,Porth Generic,Porth,41247,20451
678,6067899,Westbury Generic,Westbury,24320,11175
691,6069199,"Green Street, Kidderminister - Generic",KIDDERMINSTER GREEN STREET,77635,37596
692,6069299,Llanelli - Generic,LLANELLI PEMBERTON,81318,39848
693,6069399,Glasgow Giffnock (new) - Generic,GIFFNOCK FENWICK 2,61478,32173
,Like for Like 428 (Inc Stores Unallocated) ,,,,
350,6035099,Goole Generic,GOOLE,41104,20552
368,6036899,Coventry Holbrook - Generic,Coventry Holbrook,41106,20553
372,6037299,Minehead - Generic,MINEHEAD,45546,22773
385,6038599,Catton - Generic,Norwich Catton,24594,12297
389,6038999,South Shields - Generic,South Shields,50954,25477
391,6039199,Openshaw - Generic,OPENSHAW,65574,32787
394,6039499,Bamber Bridge - Generic,Bamber Bridge,27370,13685
398,6039899,Great Harwood,Great Harwood,29060,14530
440,6044099,Connah's Quay - Generic,CONNAHS QUAY,53466,26733
539,6053999,New Milton Generic,New Milton,16196,8098
677,6067799,Saltney Generic,SALTNEY,65354,32677
694,6069499,Harehills - Generic,HAREHILLS,41122,20561
,2010-11,,,,
388,6038899,Borehamwood - Generic,Borehamwood,45584,22792
407,6040799,Newport,NEWPORT NEW,58400,29200
409,6040999,Bathgate,BATHGATE,65000,32500
414,6041499,Peterborough,PETERBOROUGH Stanground,44000,22000
415,6041599,Salford,SALFORD,50800,25400
417,6041799,Wrexham ,WREXHAM,73200,36600
420,6042099,Newton Le Willows,Newton le Willows,17400,8700
428,6042899,Telford,Telford,15400,7700
430,6043099,Armthorpe,Armthorpe,14600,7300
437,6043799,Castleford,Castleford,17400,8700
450,6045099,Bedlington,Bedlington,15400,7700
451,6045199,Ravensthorpe,Ravensthorpe,16000,8000
466,6046699,Shildon,Shildon,20000,10000
467,6046799,Castletown,Castletown,17400,8700
470,6047099,Handsworth New Store Generic,WEST BROMWICH THE HAWTHORNES,76636,38318
493,6049399,Bolton,Bolton Bury Road,20200,10100
494,6049499,Boston,Boston,16000,8000
495,6049599,Rugby,Rugby,17600,8800
502,6050299,Oldbury,Oldbury,12200,6100
503,6050399,West Bromwich,West Bromwich,20400,10200
504,6050499,Tamworth,Tamworth Upper Gungate,20200,10100
505,6050599,Bransholme,Bransholme,14600,7300
507,6050799,Accrington,accrington,15200,7600
508,6050899,Leigh,LEIGH,66600,33300
509,6050999,New Brighton,NEW BRIGHTON,67400,33700
511,6051199,Wisbech,Wisbech,50000,25000
512,6051299,Kirkby in Ashfield,KIRKBY IN ASHFIELD,59800,29900
514,6051499,Stowmarket,Stowmarket,33000,16500
516,6051699,Glasgow Barrack Street,Glasgow Barrack Street,28400,24200
517,6051799,Manchester Worsley Little Hulton,Little Hulton,14400,7200
518,6051899,Dunstable Houghton Regis,Houghton Regis,16600,8300
522,6052299,Portsmouth Victory Park,Portsmouth Victory Park,60000,30000
523,6052399,Cramlington,Cramlington,16600,8300
525,6052599,Braintree,Braintree,25800,12900
541,6054199,Wallasey,Wallasey,18000,9000
,2011-12 Openings,,,,
166,6016699,Cwmbran,CWMBRAN,78200,39100
365,6036599,Tunbridge Wells Vale Rd - Generic ,Tunbridge Wells Vale Road,48800,24400
471,6047199,"Hadleigh, Suffolk",Hadleigh Suffolk,51200,25600
545,6054599,Edgbaston,EDGBASTON,50600,25300
546,6054699,Eastbourne,EASTBOURNE,83400,41700
552,6055299,Coleshill,COLESHILL,22600,11300
553,6055399,Aldershot,ALDERSHOT,85800,42900
556,6055699,Lowestoft,Lowestoft North Quay,53800,26900
559,6055999,Wells,WELLS,53200,26600
560,6056099,Teignmouth,TEIGNMOUTH,42000,21000
561,6056199,Telford - Lawley,TELFORD LAWLEY,40000,20000
563,6056399,Doncaster,DONCASTER BALBY,81400,40700
NEWSTOREE,NEWSTOREE,Middlewich,MIDDLEWICH,33000,16500
Sittingbourne,Sittingbourne,Sittingbourne,SITTINGBOURNE,74000,37000
,2012-13 Openings,,,,
Bacup,Bacup,Bacup,,25000,12500
Bargoed,Bargoed,Bargoed,,63000,31500
